Source,Count
Journal of the American Planning Association,72
Transportation Research Record ,52
Access,44
Transportation Research A,19
Urban Studies,17
Urban Land ,16
Environment and Planning C,13
ITEJournal,13
Journal of Planning Education and Research,12
Transportation,11
Transportation Quarterly,10
Transportation Research D,10
Transport Policy ,8
Journal of Planning Literature,7
Housing Policy Debate,5
Journal of Political Economy,5
Journal  of Regional Science,5
Journal of Urban Economics,4
Berkeley Planning Journal,3
Journal of Advanced Transportation,3
Journal of Economic Literature ,3
Journal of Public Transportation,3
Journal of Transportation and Statistics,3
Journal of Urban Planning and Development,3
Land Use Policy,3
Planning,3
Scientific American,3
The Urban Lawyer,3
Urban Geography,3
Commentary 104,2
Economic Perspectives,2
Journal of Transport Economics and Policy,2
Journal of Transport Geography,2
Land Economics,2
Regional Studies ,2
Socio-Economic Planning Science,2
The City Reader,2
Transport Reviews,2
Transportation Research Circular,2
Air & Waste,1
American Journal ofPreventive Medicine,1
Architecture,1
Australian Planner,1
Bay Area Monitor,1
Business Review,1
Earth Science,1
ECONOMIC GEOGRAPHY,1
Environment and Urban Issues,1
Governing,1
Growth and Change,1
ITS Quarterly,1
ITS Review,1
JOURNAL OF ARCHITECTURE AND PLANNING RESEARCH,1
Journal of Geographical Systems,1
Journal of Geophysical Research,1
Journal of Human Resources,1
Journal of Public Economics,1
Journal of Real Estate Finance and Economics,1
Journal of Transportation Eningeering,1
Journal of Urban Affairs,1
Land Development,1
Landlines (Handout).,1
National Tax Journal,1
Places,1
Planning and Design,1
Politics and Policy Innovation,1
Professional Geographer ,1
Public Roads,1
Quarterly Journal of Economics,1
Regional Science and Urban Economics,1
Research in Urban Economics,1
Tranportation Research D,1
Transportation Research E: Logistics and Transportation Review,1
Urban Futures,1
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access,
Access ,
Access ,
Access 10,
Access 11,
Access 12,
Access 14,
Access 7,
Access 7,
"Access, 6.",
Berkeley Planning Journal,
Commentary,
Economic Perspectives,
Environment and Planning,
Environment and Planning,
Environment and Planning,
Environment and Planning A,
Environment and Planning A,
