Total,,Title of reading,Author,Source,University of Washington,University of Minnesota,Portland State,UCLA,Berkeley,Michigan,Oreg,FSU,WISC,McGill,Rutgers,Oklahoma
6,,The Weakening Transportation-Land Use Connection,"Giuliano, Genevieve","Access, 6.",1,1,,1,1,,,1,,,1,
5,,Jobs-Housing Balance Revisited: Trends and Impacts in the San Francisco Bay Area,"Cervero, R.",Journal of American Planning Association,,1,,1,1,1,,1,,,,
4,,Travel by Design,"Crane, R. ",Access 12,,,,1,1,1,1,,,,,
4,,Access to Choice,"Levine, J.",Access,,1,,1,1,1,,,,,,
3,,Land use and transportation planning in response to congestion problems: A review and critique,"Deakin, Elizabeth",Transportation Research Record,,,1,1,1,,,,,,,
3,,The Transportation-Land Use Connection Still Matters,"Cervero, Robert and John Landis","Access, 7",1,,,1,,,,,,,1,
3,,The Political Context of Transportation Policy,Martin Wachs,The Geography of Transportation,1,,,1,1,,,,,,,
3,,Are Compact Cities a Desirable Planning Goal?,"Gordon, Peter and Harry Richardson",Journal of the American Planning Association,1,1,,1,,,,,,,,
3,,Is Los Angeles-Style Sprawl Desirable?,"Ewing, Reid",Journal of the American Planning Association,1,,,,1,,,,,,1,
3,,Can Land-Use Policy Really Affect Travel?,"Boarnet, Marlon and Sharon Sarmiento",Urban Studies,1,1,,,1,,,,,,,
3,,Why Go Anywhere?,"Cervero, R.",Scientific American,,1,,1,1,,,,,,,
3,,Middle-age sprawl: BART and urban development,"Landis, J. and R. Cervero",Access 14,,1,,1,1,,,,,,,
3,,Transito-focused development and light rail systems: the lite connection,"Porter, D.",Transportation Research Record 1305,,,,1,1,,,,,1,,
3,,Rail Transit and Joint Development: Land Market Impacts in Washington D.C. and Atlanta,"Cervero, Robert",Journal of the American Planning Association,,1,,,1,,,1,,,,
3,,Best Development Practices,"Ewing, Reid",Best Development Practices: Doing the Right Thing and Making It at the Same Time,,1,,,1,,,,,,1,
3,,Is Jobs-Housing Balance a Transportation Issue?,"Giuliano, G.",Transportation Research Record,,,,,1,1,,1,,,,
2,,The Geography of Urban Transportation,"Hanson, Susan.",The Geography of Urban Transportation,1,,1,,,,,,,,,
2,,Jobs-housing balancing and regional mobility,"Cervero, Robert",Journal of the American Planning Association,,,1,,,,,1,,,,
2,,New directions for understanding transportation and land use,"Giuliano, Genevieve",Environment and Planning,,,1,,1,,,,,,,
2,,Our Nation's Travel: 1995 NTPS Early Results Report,Our Nation's Travel: 1995 NTPS Early Results Report,http://www-cta.ornl.gov/npts/1995/Doc/index.shtml,1,,,1,,,,,,,,
2,,Transportation and Land Use,"Pickrell, Don", Transportation Economics and Policy,1,,,,,,,,,1,,
2,,"Urban Transportation Planning in the United States, ch 11-14, p 9 and 18, pp30-33(Highway Act of 1956), pp69-74(NEPA), pp81-83, 93-97 (Mass Transit)","Weiner, Ed",Urban Transportation Planning in the United States,1,,,,1,,,,,,,
2,,Do Highways Matter?,Boarnet/Brookings,Do Highways Matter?,1,,,1,,,,,,,,
2,,"Sustainability and Cities: Overcoming Automobile Dependence, Chapter 2","Newman, Peter and Jeffrey Kenworthy",Sustainability and Cities: Overcoming Automobile Dependence,1,,,,,,,,1,,,
2,,"Research on Pro-Sprawl Players and Messages, Chapter 2 pp.9-15 in Traffic Calming",Sprawl Watch Clearinghouse. 2000,Research on Pro-Sprawl Players and Messages. www.sprawlwatch.org/communications.html,1,,,1,,,,,,,,
2,,Regional vs. Local Accessibility: Implications for Non-work Travel,"Handy, Susan",Transportation Research Record 1400,1,,,,1,,,,,,,
2,,Seattle Monorail Project,,http://www.elevated.org/,1,,,1,,,,,,,,
2,,Do New Highways Generate Traffic?,"Hansen, M.",Access 7,,,,1,1,,,,,,,
2,,"Land use impacts of transportation investments: highway and transit, ch 13","Giuliano, G.",The Geography of Urban Transportation,,,,1,1,,,,,,,
2,,The relatioship between Transit and Urban Form,"Cervero, R. and S. Seskin","Transit cooperative research program, research results digest",,,,1,1,,,,,,,
2,,The land-use impacts of urban rail transit systems,"Huang, H.",Journal of Planning Literature,,,,1,1,,,,,,,
2,,Light rail transit and urban development,"Cervero, R.",Journal of American Planning Association,,,,1,1,,,,,,,
2,,New highways and conomic growth: rethinking the link,"Boarnet, M.",Access 7,,,,1,1,,,,,,,
2,,Neo-traditional development: the debate,"Handy, S.",Berkeley Planning Journal,,,,1,1,,,,,,,
2,,How Neighborhood Design Affects Travel,"McNally, M.",ITS Review,,,,1,1,,,,,,,
