row_id,source_file,sheet_name,rows,cols,nonempty_cells,sample_nonempty_cells
paper-2005-01,LUTC.xls,LUTC programs,15,8,107,"University | Is there a graduate class on land use and/or land use planning (w/o transportati | If yes, what is the name and number of the course? | Is there a graduate class covering urban transportation planning (w/o land use)? | If yes, is the course offered in the planning department/program? | Does the civil engineering department offer an urban transportation plannning co | Does the plannning program offer an integrated land use-transportation course? | Size of FTE faculty in planning program? | Florida State University | Y | Land-Use Planning (URP 5316) | Y"
paper-2005-01,LUTC.xls,Programs and Classes,176,40,1952,"Specialization areas | Is there a graduate class on land use and/or land use planning (w/o transportati | If yes, what is the name and number of the course? | Is there a graduate class covering urban transportation planning (w/o land use)? | If yes, is the course offered in the planning deparment? | Does the civil engineering department offer an urban transportation plannning co | Does the plannning program offer an integrated land use-transportation course? | Size of the faculty? | Administration and law | Community development | Comprehensive planning | Economic Development"
paper-2005-01,LUTC.xls,Index,19,4,72,University | Title of Class | Syllabus (Y/N) | Instructor | FSU | Transportation and Land Use | Y | Deva Deka | Geogia Tech | Land Use - Transportation Interaction | N | Larry Frank
paper-2005-01,LUTC.xls,JournalCitations,335,2,410,Source | Count | Journal of the American Planning Association | 72.0 | Transportation Research Record | 52.0 | Access | 44.0 | Transportation Research A | 19.0 | Urban Studies | 17.0
paper-2005-01,LUTC.xls,Journals,335,4,1077,Title of reading | Source | Congestion Pricing: New Life for an Old Idea? | Access | 1.0 | Will Congestion Pricing Ever Be Adopted? | Access | 1.0 | Travel for the fun of it | Access | 1.0 | Access to Choice
paper-2005-01,LUTC.xls,Readings,765,20,3123,Title of reading | Author | Source | Washington | Minnesota | Minnesota II | Portland State | UCLA | Berkeley | Michigan | Oreg | FSU
paper-2005-01,LUTC.xls,Topics,314,19,611,Topics | Washington | Minnesota | Minnesota II | Portland State | UCLA | Berkeley | McGill | Oklahoma | Upenn | Wisc | Rutgers
paper-2005-01,LUTC.xls,Grouping of Topics,31,18,315,List of Themes/Topics Covered in Land use-Transportation Courses | Theme | Topic | Washington | Minnesota | Minnesota II | Portland State | UCLA | UC Berkeley | Michigan | Florida State | Wisconsin
paper-2005-01,luandtsy.xls,Index,18,5,60,University | Title of Class | Syllabus (Y/N) | Instructor | FSU | Transportation and Land Use | Y | Deva Deka | Geogia | Land Use - Transportation Interaction | McGill | Transportation and Land Development
paper-2005-01,luandtsy.xls,Readings,729,17,3617,Total | Title of reading | Author | Source | University of Washington | University of Minnesota | Portland State | UCLA | Berkeley | Michigan | Oreg | FSU
paper-2005-01,luandtsy.xls,Topics,274,16,528,Topics | U of Washington | U of Minnesota | Portland State | UCLA | Berkeley | McGill | Oklahoma | Upenn | Wisc | Rutgers | Oreg
paper-2005-01,luandtsy.xls,Sheet3,4,10,14,"Urban Transportation in Context | Hanson , Susan | Geography of Transportation | 1.0 | 0.0 | 0.0 | 0.0 | Stuck in Traffic, chapter 1-3 | Downs, Tony | Stuck in Traffic | 1.0 | 0.0"
paper-2005-01,LUTopics.xls,Sheet1,71,1,54,List of Topics Covered in Land use-Transportation Courses | (revised 3.14.2002) | Overview | A.  Introduction to LU and T issues | B.  History | C.  Rationales for Planning | Theory | E.   Travel Behavior | Ea – Activities on Travel | Eb – Land Use on Travel | F.   Transportation Economics | G.  Urban Economics
paper-2005-01,LUTopics.xls,Sheet2,0,0,0,
paper-2005-01,LUTopics.xls,Sheet3,0,0,0,
paper-2005-01,LUTC Facts.xls,Sheet1,1,7,7,University or Planning Program | Land Use and Transportation Course? | A course covering land use planning? | A course covering urban transportation planning? | Is the above in the planning department? | Is the above in the department of civil engineering? | Size of the planning faculty (Full time equivaluents)
paper-2005-01,LUTC Facts.xls,Sheet2,0,0,0,
paper-2005-01,LUTC Facts.xls,Sheet3,0,0,0,
